Time	Nup107-Mean	Nup107-STD	Nup93-Mean	Nup93-STD	Nup205-Mean	Nup205-STD	Nup62-Mean	Nup62-STD	SEH1-MEAN	SEH1-STD	Nup188-Mean	Nup188-STD
32	29.09987233	6.137599985	40.55299865	5.580072437	15.7800359	2.427585676	42.79297502	5.703875413	26.88833294	3.335873047	15.41306213	2.661047124
32.5	27.99647429	4.930534168	42.18884127	4.285836877	15.44053097	2.956853297	42.90518283	5.717733515	27.24584798	4.19596766	16.26622416	1.956771996
33	28.77822225	6.61841231	42.91841215	4.16400379	14.46911784	2.738241888	42.75972559	7.142552721	26.11499845	2.503279065	15.39157476	2.482484414
33.5	28.58742963	5.602820962	41.93912468	4.890708206	14.92681491	2.927296477	42.83957874	5.316664327	27.36447892	2.8150113	16.27333937	1.809033078
34	28.4748651	6.946257958	41.99542557	5.158198241	14.99464529	2.477511534	44.12488414	5.809259302	26.12738326	2.859240723	16.64726302	2.663197666
34.5	29.20288836	6.257055837	43.07988472	3.784120896	15.26181349	2.195962957	43.89846501	6.242461278	26.38465153	3.252416912	16.27331107	2.399016737
35	30.03582881	5.47221438	42.0257532	4.177056222	16.10705286	2.163718489	44.86630924	7.585539012	26.98477544	2.936437733	16.18575374	2.521403883
35.5	30.30379842	5.366049165	41.78379686	3.697245007	16.16558945	2.090558622	44.96242736	6.231196811	26.83034208	3.127768322	16.45003926	2.566567739
36	29.95497858	4.630609809	43.51702241	3.946839832	16.29285106	2.654544231	44.32065339	5.455833951	27.87933885	4.122296126	16.55165091	1.686625143
36.5	30.65126115	5.361157336	42.33142114	3.113672847	15.76849978	1.924449068	44.56807318	6.121353692	27.78744211	4.057584804	15.81721278	1.870803067
37	30.94693463	5.676760765	42.80671494	4.984876689	16.71203063	2.21040211	44.55807553	6.15649998	27.69852165	3.322717882	16.25501808	2.48930646
37.5	30.8872851	5.914454952	43.65929979	5.307397557	15.81372164	2.274485483	43.84659716	4.982258104	27.56561194	4.142390192	17.67458316	2.590623169
38	31.09301894	5.000042569	42.7790221	4.937884774	15.57806597	2.461746805	44.23769816	6.082898571	26.68892151	3.372697546	16.34808342	2.494158206
38.5	31.51303464	6.550011172	43.32449572	5.246852449	15.26255902	2.376250672	44.53915105	6.442029118	26.63786692	2.109444636	16.60283091	2.014937169
39	30.26475489	4.068018764	43.54239781	4.680567073	16.24497566	2.587604005	44.31614803	6.372718017	26.88852768	3.19622792	16.63852787	1.938312486
39.5	29.43702271	4.34362213	43.01291578	4.837914443	16.3479354	2.904694694	45.47278223	5.70287675	26.95867924	3.363427859	16.68041136	1.980738278
40	29.55811875	3.078629416	44.79817309	5.360921909	16.95903352	2.090533544	46.04558192	5.633533142	26.7405248	2.992360183	17.37127626	2.414029784
40.5	30.20351915	5.068965022	44.0609643	3.656243348	16.20514908	2.415574177	45.1350424	5.326274758	26.39674847	2.491095961	16.45372638	2.364181288
