,time_min,Pom121,Nup153,Nup107,Seh1,Nup205,Nup93,Nup62,Nup214,TPR,Nup358
115,57.5,22.78250401398807,29.751545970968504,32.204535543482535,29.405080085639312,16.753516531245634,46.48177352005033,46.570537041798296,18.304571450578198,19.526171720040537,9.5658822278342
116,58.0,22.78250401398807,29.751545970968504,32.204535543482535,29.405080085639312,16.753516531245634,46.48177352005033,46.570537041798296,18.304571450578198,19.526171720040537,9.587697238616036
117,58.5,22.78250401398807,29.751545970968504,32.204535543482535,29.405080085639312,16.753516531245634,46.48177352005033,46.570537041798296,18.323500686824918,19.526171720040537,9.609512249397868
118,59.0,22.78250401398807,29.751545970968504,32.204535543482535,29.405080085639312,16.753516531245634,46.48177352005033,46.570537041798296,18.342429923071638,19.526171720040537,9.631327260179704
119,59.5,22.78250401398807,29.751545970968504,32.204535543482535,29.405080085639312,16.753516531245634,46.48177352005033,46.570537041798296,18.342429923071638,19.526171720040537,9.653142270961537
120,60.0,22.78250401398807,29.751545970968504,32.204535543482535,29.405080085639312,16.753516531245634,46.48177352005033,46.570537041798296,18.361359159318358,19.526171720040537,9.67495728174337
121,60.5,22.78250401398807,29.751545970968504,32.204535543482535,29.405080085639312,16.753516531245634,46.48177352005033,46.570537041798296,18.361359159318358,19.526171720040537,9.696772292525205
122,61.0,22.78250401398807,29.751545970968504,32.236804617173405,29.434544093741156,16.753516531245634,46.48177352005033,46.570537041798296,18.380288395565078,19.526171720040537,9.718587303307038
123,61.5,22.78250401398807,29.751545970968504,32.236804617173405,29.434544093741156,16.753516531245634,46.48177352005033,46.617200906569636,18.380288395565078,19.526171720040537,9.740402314088874
124,62.0,22.78250401398807,29.751545970968504,32.236804617173405,29.434544093741156,16.753516531245634,46.48177352005033,46.617200906569636,18.399217631811798,19.526171720040537,9.762217324870706
125,62.5,22.78250401398807,29.751545970968504,32.236804617173405,29.434544093741156,16.753516531245634,46.48177352005033,46.617200906569636,18.418146868058518,19.526171720040537,9.773124830261624
126,63.0,22.78250401398807,29.751545970968504,32.236804617173405,29.434544093741156,16.753516531245634,46.48177352005033,46.617200906569636,18.418146868058518,19.545717437478014,9.794939841043458
127,63.5,22.78250401398807,29.751545970968504,32.236804617173405,29.434544093741156,16.753516531245634,46.48177352005033,46.617200906569636,18.437076104305238,19.545717437478014,9.816754851825293
128,64.0,22.78250401398807,29.751545970968504,32.236804617173405,29.434544093741156,16.753516531245634,46.48177352005033,46.617200906569636,18.437076104305238,19.545717437478014,9.827662357216209
129,64.5,22.78250401398807,29.751545970968504,32.236804617173405,29.434544093741156,16.753516531245634,46.48177352005033,46.617200906569636,18.437076104305238,19.545717437478014,9.849477367998043
130,65.0,22.78250401398807,29.751545970968504,32.236804617173405,29.434544093741156,16.753516531245634,46.48177352005033,46.617200906569636,18.456005340551958,19.545717437478014,9.871292378779877
131,65.5,22.78250401398807,29.751545970968504,32.236804617173405,29.434544093741156,16.753516531245634,46.48177352005033,46.617200906569636,18.456005340551958,19.545717437478014,9.882199884170793
132,66.0,22.78250401398807,29.751545970968504,32.236804617173405,29.434544093741156,16.753516531245634,46.48177352005033,46.617200906569636,18.474934576798677,19.545717437478014,9.90401489495263
133,66.5,22.78250401398807,29.751545970968504,32.236804617173405,29.434544093741156,16.753516531245634,46.48177352005033,46.617200906569636,18.474934576798677,19.545717437478014,9.914922400343546
134,67.0,22.78250401398807,29.751545970968504,32.236804617173405,29.434544093741156,16.753516531245634,46.48177352005033,46.617200906569636,18.493863813045397,19.545717437478014,9.936737411125378
135,67.5,22.78250401398807,29.751545970968504,32.236804617173405,29.434544093741156,16.753516531245634,46.48177352005033,46.617200906569636,18.493863813045397,19.545717437478014,9.947644916516296
136,68.0,22.78250401398807,29.751545970968504,32.236804617173405,29.434544093741156,16.753516531245634,46.48177352005033,46.617200906569636,18.493863813045397,19.545717437478014,9.958552421907214
137,68.5,22.78250401398807,29.751545970968504,32.236804617173405,29.434544093741156,16.753516531245634,46.48177352005033,46.617200906569636,18.512793049292117,19.545717437478014,9.980367432689047
138,69.0,22.78250401398807,29.751545970968504,32.236804617173405,29.434544093741156,16.753516531245634,46.48177352005033,46.617200906569636,18.512793049292117,19.545717437478014,9.991274938079963
139,69.5,22.78250401398807,29.751545970968504,32.236804617173405,29.434544093741156,16.753516531245634,46.48177352005033,46.617200906569636,18.531722285538837,19.545717437478014,10.00218244347088
140,70.0,22.78250401398807,29.751545970968504,32.236804617173405,29.434544093741156,16.753516531245634,46.48177352005033,46.617200906569636,18.531722285538837,19.545717437478014,10.013089948861797
141,70.5,22.78250401398807,29.751545970968504,32.236804617173405,29.434544093741156,16.753516531245634,46.48177352005033,46.617200906569636,18.531722285538837,19.545717437478014,10.034904959643631
142,71.0,22.78250401398807,29.751545970968504,32.236804617173405,29.434544093741156,16.753516531245634,46.48177352005033,46.617200906569636,18.550651521785557,19.545717437478014,10.04581246503455
143,71.5,22.78250401398807,29.751545970968504,32.236804617173405,29.434544093741156,16.753516531245634,46.48177352005033,46.617200906569636,18.550651521785557,19.545717437478014,10.056719970425466
144,72.0,22.78250401398807,29.751545970968504,32.236804617173405,29.434544093741156,16.753516531245634,46.48177352005033,46.617200906569636,18.550651521785557,19.545717437478014,10.067627475816382
145,72.5,22.78250401398807,29.751545970968504,32.236804617173405,29.434544093741156,16.753516531245634,46.48177352005033,46.617200906569636,18.569580758032277,19.545717437478014,10.0785349812073
146,73.0,22.78250401398807,29.751545970968504,32.236804617173405,29.434544093741156,16.753516531245634,46.48177352005033,46.617200906569636,18.569580758032277,19.545717437478014,10.100349991989134
147,73.5,22.78250401398807,29.751545970968504,32.236804617173405,29.434544093741156,16.753516531245634,46.48177352005033,46.617200906569636,18.569580758032277,19.545717437478014,10.11125749738005
148,74.0,22.78250401398807,29.751545970968504,32.236804617173405,29.434544093741156,16.753516531245634,46.48177352005033,46.617200906569636,18.588509994278997,19.545717437478014,10.122165002770966
149,74.5,22.78250401398807,29.751545970968504,32.236804617173405,29.434544093741156,16.753516531245634,46.48177352005033,46.617200906569636,18.588509994278997,19.545717437478014,10.133072508161886
150,75.0,22.78250401398807,29.751545970968504,32.236804617173405,29.434544093741156,16.753516531245634,46.48177352005033,46.617200906569636,18.588509994278997,19.545717437478014,10.143980013552802
