,Time (min),AVERAGE,STD
208,107.5,1.022090759,0.075862113
209,108,1.089537411,0.096287027
210,108.5,1.066973135,0.098701456
211,109,0.974131794,0.108818057
212,109.5,1.045810294,0.115079571
213,110,1.107645307,0.097931065
214,110.5,1.03562255,0.098267425
215,111,1.046821288,0.091417906
216,111.5,0.988678535,0.071374618
217,112,1.046182733,0.097520987
218,112.5,1.042536227,0.085771475
219,113,1.015668763,0.122239312
220,113.5,1.004139513,0.090357399
221,114,0.984329726,0.117196452
222,114.5,1.011478494,0.113538953
223,115,1.037670004,0.149667782
224,115.5,1.085507334,0.108252272
225,116,1.036217223,0.100024916
226,116.5,1.055794771,0.066174494
227,117,0.993205464,0.082132094
228,117.5,1.032505193,0.103575696
229,118,0.991912403,0.1129766
230,118.5,1.045613053,0.118382714
231,119,0.995780932,0.070348719
232,119.5,1.056814556,0.144711714
233,120,1.04509564,0.127304246
